Title,Summary,Published,Category
"Self-Sovereign Identity for Consented and Content-Based Access to
  Medical Records using Blockchain","  Electronic Health Records (EHRs) and Medical Data are classified as personal
data in every privacy law, meaning that any related service that includes
processing such data must come with full security, confidentiality, privacy and
accountability. Solutions for health data management, as in storing it, sharing
and processing it, are emerging quickly and were significantly boosted by the
Covid-19 pandemic that created a need to move things online. EHRs makes a
crucial part of digital identity data, and the same digital identity trends --
as in self sovereign identity powered by decentralized ledger technologies like
Blockchain, are being researched or implemented in contexts managing digital
interactions between health facilities, patients and health professionals. In
this paper, we propose a blockchain-based solution enabling secure exchange of
EHRs between different parties powered by a self-sovereign identity (SSI)
wallet and decentralized identifiers. We also make use of a consortium IPFS
network for off-chain storage and attribute-based encryption (ABE) to ensure
data confidentiality and integrity. Through our solution, we grant users full
control over their medical data, and enable them to securely share it in total
confidentiality over secure communication channels between user wallets using
encryption. We also use DIDs for better user privacy and limit any possible
correlations or identification by using pairwise DIDs. Overall, combining this
set of technologies guarantees secure exchange of EHRs, secure storage and
management along with by-design features inherited from the technological
stack.
",2024-07-31 12:27:31+00:00,cs.CR
"Blink: Fast Automated Design of Run-Time Power Monitors on FPGA-Based
  Computing Platforms","  The current over-provisioned heterogeneous multi-cores require effective
run-time optimization strategies, and the run-time power monitoring subsystem
is paramount for their success. Several state-of-the-art methodologies address
the design of a run-time power monitoring infrastructure for generic computing
platforms. However, the power model's training requires time-consuming
gate-level simulations that, coupled with the ever-increasing complexity of the
modern heterogeneous platforms, dramatically hinder the usability of such
solutions. This paper introduces Blink, a scalable framework for the fast and
automated design of run-time power monitoring infrastructures targeting
computing platforms implemented on FPGA. Blink optimizes the time-to-solution
to deliver the run-time power monitoring infrastructure by replacing
traditional methodologies' gate-level simulations and power trace computations
with behavioral simulations and direct power trace measurements. Applying Blink
to multiple designs mixing a set of HLS-generated accelerators from a
state-of-the-art benchmark suite demonstrates an average time-to-solution
speedup of 18 times without affecting the quality of the run-time power
estimates.
",2024-07-31 06:31:41+00:00,cs.AR
Functional ISS-Driven Verification of Superscalar RISC-V Processors,"  A time-efficient and comprehensive verification is a fundamental part of the
design process for modern computing platforms, and it becomes ever more
important and critical to optimize as the latter get ever more complex.
SupeRFIVe is a methodology for the functional verification of superscalar
processors that leverages an instruction set simulator to validate their
correctness according to a simulation-based approach, interfacing a testbench
for the design under test with the instruction set simulator by means of socket
communication. We demonstrate the effectiveness of the SupeRFIVe methodology by
applying it to verify the functional correctness of a RISC-V dual-issue
superscalar CPU, leveraging the state-of-the-art RISC-V instruction set
simulator Spike and executing a set of benchmark applications from the open
literature.
",2024-07-30 21:00:21+00:00,cs.AR
"Multi-task Photonic Reservoir Computing: Wavelength Division
  Multiplexing for Parallel Computing with a Silicon Microring Resonator","  Nowadays, as the ever-increasing demand for more powerful computing resources
continues, alternative advanced computing paradigms are under extensive
investigation. Significant effort has been made to deviate from conventional
Von Neumann architectures. In-memory computing has emerged in the field of
electronics as a possible solution to the infamous bottleneck between memory
and computing processors, which reduces the effective throughput of data. In
photonics, novel schemes attempt to collocate the computing processor and
memory in a single device. Photonics offers the flexibility of multiplexing
streams of data not only spatially and in time, but also in frequency or,
equivalently, in wavelength, which makes it highly suitable for parallel
computing. Here, we numerically show the use of time and wavelength division
multiplexing (WDM) to solve four independent tasks at the same time in a single
photonic chip, serving as a proof of concept for our proposal. The system is a
time-delay reservoir computing (TDRC) based on a microring resonator (MRR). The
addressed tasks cover different applications: Time-series prediction, waveform
signal classification, wireless channel equalization, and radar signal
prediction. The system is also tested for simultaneous computing of up to 10
instances of the same task, exhibiting excellent performance. The footprint of
the system is reduced by using time-division multiplexing of the nodes that act
as the neurons of the studied neural network scheme. WDM is used for the
parallelization of wavelength channels, each addressing a single task. By
adjusting the input power and frequency of each optical channel, we can achieve
levels of performance for each of the tasks that are comparable to those quoted
in state-of-the-art reports focusing on single-task operation...
",2024-07-30 20:54:07+00:00,cs.NE
"Evolutionary Approximation of Ternary Neurons for On-sensor Printed
  Neural Networks","  Printed electronics offer ultra-low manufacturing costs and the potential for
on-demand fabrication of flexible hardware. However, significant intrinsic
constraints stemming from their large feature sizes and low integration density
pose design challenges that hinder their practicality. In this work, we conduct
a holistic exploration of printed neural network accelerators, starting from
the analog-to-digital interface - a major area and power sink for sensor
processing applications - and extending to networks of ternary neurons and
their implementation. We propose bespoke ternary neural networks using
approximate popcount and popcount-compare units, developed through a
multi-phase evolutionary optimization approach and interfaced with sensors via
customizable analog-to-binary converters. Our evaluation results show that the
presented designs outperform the state of the art, achieving at least 6x
improvement in area and 19x in power. To our knowledge, they represent the
first open-source digital printed neural network classifiers capable of
operating with existing printed energy harvesters.
",2024-07-30 06:51:13+00:00,cs.AR
"Brain-inspired polymer dendrite networks for morphology-dependent
  computing hardware","  Variability has always been a challenge to mitigate in electronics. This
especially holds true for organic semiconductors, where reproducibility and
long-term stability concerns hinder industrialization. By relying on a
bio-inspired computing paradigm, we show that AC-electropolymerization is a
powerful platform for the development of morphology-dependent computing
hardware. Our findings reveal that electropolymerized polymer dendrite networks
exhibit a complex relationship between structure and operation that allows them
to implement nearly linear to nonlinear functions depending on the complexity
of their structure. Moreover, dendritic networks can integrate a limitless
number of inputs from their environment, for which their unique morphologies
induce specific patterns in the dynamic encoding of the network's output. We
demonstrate that this property can be used to our advantage in the context of
in materio computing to discriminate between different spatiotemporal inputs.
These results show how, due to its inherent stochasticity,
electropolymerization is a pivotal technique for the bottom-up implementation
of computationally powerful objects. We anticipate this study will help
shifting the negative perception of variability in the material science
community and promote the electropolymerization framework as a foundation for
the development of a new generation of hardware defined by its topological
richness.
",2024-07-29 09:58:01+00:00,cs.ET
"Enhancing material property prediction with ensemble deep graph
  convolutional networks","  Machine learning (ML) models have emerged as powerful tools for accelerating
materials discovery and design by enabling accurate predictions of properties
from compositional and structural data. These capabilities are vital for
developing advanced technologies across fields such as energy, electronics, and
biomedicine, potentially reducing the time and resources needed for new
material exploration and promoting rapid innovation cycles. Recent efforts have
focused on employing advanced ML algorithms, including deep learning - based
graph neural network, for property prediction. Additionally, ensemble models
have proven to enhance the generalizability and robustness of ML and DL.
However, the use of such ensemble strategies in deep graph networks for
material property prediction remains underexplored. Our research provides an
in-depth evaluation of ensemble strategies in deep learning - based graph
neural network, specifically targeting material property prediction tasks. By
testing the Crystal Graph Convolutional Neural Network (CGCNN) and its
multitask version, MT-CGCNN, we demonstrated that ensemble techniques,
especially prediction averaging, substantially improve precision beyond
traditional metrics for key properties like formation energy per atom ($\Delta
E^{f}$), band gap ($E_{g}$) and density ($\rho$) in 33,990 stable inorganic
materials. These findings support the broader application of ensemble methods
to enhance predictive accuracy in the field.
",2024-07-26 16:12:06+00:00,cs.LG
"Is larger always better? Evaluating and prompting large language models
  for non-generative medical tasks","  The use of Large Language Models (LLMs) in medicine is growing, but their
ability to handle both structured Electronic Health Record (EHR) data and
unstructured clinical notes is not well-studied. This study benchmarks various
models, including GPT-based LLMs, BERT-based models, and traditional clinical
predictive models, for non-generative medical tasks utilizing renowned
datasets. We assessed 14 language models (9 GPT-based and 5 BERT-based) and 7
traditional predictive models using the MIMIC dataset (ICU patient records) and
the TJH dataset (early COVID-19 EHR data), focusing on tasks such as mortality
and readmission prediction, disease hierarchy reconstruction, and biomedical
sentence matching, comparing both zero-shot and finetuned performance. Results
indicated that LLMs exhibited robust zero-shot predictive capabilities on
structured EHR data when using well-designed prompting strategies, frequently
surpassing traditional models. However, for unstructured medical texts, LLMs
did not outperform finetuned BERT models, which excelled in both supervised and
unsupervised tasks. Consequently, while LLMs are effective for zero-shot
learning on structured data, finetuned BERT models are more suitable for
unstructured texts, underscoring the importance of selecting models based on
specific task requirements and data characteristics to optimize the application
of NLP technology in healthcare.
",2024-07-26 06:09:10+00:00,cs.CL
SMiCRM: A Benchmark Dataset of Mechanistic Molecular Images,"  Optical chemical structure recognition (OCSR) systems aim to extract the
molecular structure information, usually in the form of molecular graph or
SMILES, from images of chemical molecules. While many tools have been developed
for this purpose, challenges still exist due to different types of noises that
might exist in the images. Specifically, we focus on the 'arrow-pushing'
diagrams, a typical type of chemical images to demonstrate electron flow in
mechanistic steps. We present Structural molecular identifier of Molecular
images in Chemical Reaction Mechanisms (SMiCRM), a dataset designed to
benchmark machine recognition capabilities of chemical molecules with
arrow-pushing annotations. Comprising 453 images, it spans a broad array of
organic chemical reactions, each illustrated with molecular structures and
mechanistic arrows. SMiCRM offers a rich collection of annotated molecule
images for enhancing the benchmarking process for OCSR methods. This dataset
includes a machine-readable molecular identity for each image as well as
mechanistic arrows showing electron flow during chemical reactions. It presents
a more authentic and challenging task for testing molecular recognition
technologies, and achieving this task can greatly enrich the mechanisitic
information in computer-extracted chemical reaction data.
",2024-07-25 18:52:10+00:00,cs.CV
"Investigation to answer three key questions concerning plant pest
  identification and development of a practical identification framework","  The development of practical and robust automated diagnostic systems for
identifying plant pests is crucial for efficient agricultural production. In
this paper, we first investigate three key research questions (RQs) that have
not been addressed thus far in the field of image-based plant pest
identification. Based on the knowledge gained, we then develop an accurate,
robust, and fast plant pest identification framework using 334K images
comprising 78 combinations of four plant portions (the leaf front, leaf back,
fruit, and flower of cucumber, tomato, strawberry, and eggplant) and 20 pest
species captured at 27 farms. The results reveal the following. (1) For an
appropriate evaluation of the model, the test data should not include images of
the field from which the training images were collected, or other
considerations to increase the diversity of the test set should be taken into
account. (2) Pre-extraction of ROIs, such as leaves and fruits, helps to
improve identification accuracy. (3) Integration of closely related species
using the same control methods and cross-crop training methods for the same
pests, are effective. Our two-stage plant pest identification framework,
enabling ROI detection and convolutional neural network (CNN)-based
identification, achieved a highly practical performance of 91.0% and 88.5% in
mean accuracy and macro F1 score, respectively, for 12,223 instances of test
data of 21 classes collected from unseen fields, where 25 classes of images
from 318,971 samples were used for training; the average identification time
was 476 ms/image.
",2024-07-25 12:49:24+00:00,cs.CV
"Synthetic High-resolution Cryo-EM Density Maps with Generative
  Adversarial Networks","  Generating synthetic cryogenic electron microscopy (cryo-EM) 3D density maps
from molecular structures has potential important applications in structural
biology. Yet existing simulation-based methods cannot mimic all the complex
features present in experimental maps, such as secondary structure elements. As
an alternative, we propose struc2mapGAN, a novel data-driven method that
employs a generative adversarial network (GAN) to produce high-resolution
experimental-like density maps from molecular structures. More specifically,
struc2mapGAN uses a U-Net++ architecture as the generator, with an additional
L1 loss term and further processing of raw experimental maps to enhance
learning efficiency. While struc2mapGAN can promptly generate maps after
training, we demonstrate that it outperforms existing simulation-based methods
for a wide array of tested maps and across various evaluation metrics. Our code
is available at https://github.com/chenwei-zhang/struc2mapGAN.
",2024-07-24 23:47:05+00:00,cs.LG
"What Matters in Explanations: Towards Explainable Fake Review Detection
  Focusing on Transformers","  Customers' reviews and feedback play crucial role on electronic
commerce~(E-commerce) platforms like Amazon, Zalando, and eBay in influencing
other customers' purchasing decisions. However, there is a prevailing concern
that sellers often post fake or spam reviews to deceive potential customers and
manipulate their opinions about a product. Over the past decade, there has been
considerable interest in using machine learning (ML) and deep learning (DL)
models to identify such fraudulent reviews. Unfortunately, the decisions made
by complex ML and DL models - which often function as \emph{black-boxes} - can
be surprising and difficult for general users to comprehend. In this paper, we
propose an explainable framework for detecting fake reviews with high precision
in identifying fraudulent content with explanations and investigate what
information matters most for explaining particular decisions by conducting
empirical user evaluation. Initially, we develop fake review detection models
using DL and transformer models including XLNet and DistilBERT. We then
introduce layer-wise relevance propagation (LRP) technique for generating
explanations that can map the contributions of words toward the predicted
class. The experimental results on two benchmark fake review detection datasets
demonstrate that our predictive models achieve state-of-the-art performance and
outperform several existing methods. Furthermore, the empirical user evaluation
of the generated explanations concludes which important information needs to be
considered in generating explanations in the context of fake review
identification.
",2024-07-24 13:26:02+00:00,cs.CL
"Robust Deep Hawkes Process under Label Noise of Both Event and
  Occurrence","  Integrating deep neural networks with the Hawkes process has significantly
improved predictive capabilities in finance, health informatics, and
information technology. Nevertheless, these models often face challenges in
real-world settings, particularly due to substantial label noise. This issue is
of significant concern in the medical field, where label noise can arise from
delayed updates in electronic medical records or misdiagnoses, leading to
increased prediction risks. Our research indicates that deep Hawkes process
models exhibit reduced robustness when dealing with label noise, particularly
when it affects both event types and timing. To address these challenges, we
first investigate the influence of label noise in approximated intensity
functions and present a novel framework, the Robust Deep Hawkes Process (RDHP),
to overcome the impact of label noise on the intensity function of Hawkes
models, considering both the events and their occurrences. We tested RDHP using
multiple open-source benchmarks with synthetic noise and conducted a case study
on obstructive sleep apnea-hypopnea syndrome (OSAHS) in a real-world setting
with inherent label noise. The results demonstrate that RDHP can effectively
perform classification and regression tasks, even in the presence of noise
related to events and their timing. To the best of our knowledge, this is the
first study to successfully address both event and time label noise in deep
Hawkes process models, offering a promising solution for medical applications,
specifically in diagnosing OSAHS.
",2024-07-24 11:12:01+00:00,cs.LG
"Transformer-based Capacity Prediction for Lithium-ion Batteries with
  Data Augmentation","  Lithium-ion batteries are pivotal to technological advancements in
transportation, electronics, and clean energy storage. The optimal operation
and safety of these batteries require proper and reliable estimation of battery
capacities to monitor the state of health. Current methods for estimating the
capacities fail to adequately account for long-term temporal dependencies of
key variables (e.g., voltage, current, and temperature) associated with battery
aging and degradation. In this study, we explore the usage of transformer
networks to enhance the estimation of battery capacity. We develop a
transformer-based battery capacity prediction model that accounts for both
long-term and short-term patterns in battery data. Further, to tackle the data
scarcity issue, data augmentation is used to increase the data size, which
helps to improve the performance of the model. Our proposed method is validated
with benchmark datasets. Simulation results show the effectiveness of data
augmentation and the transformer network in improving the accuracy and
robustness of battery capacity prediction.
",2024-07-22 20:21:40+00:00,cs.LG
"Model editing for distribution shifts in uranium oxide morphological
  analysis","  Deep learning still struggles with certain kinds of scientific data. Notably,
pretraining data may not provide coverage of relevant distribution shifts
(e.g., shifts induced via the use of different measurement instruments). We
consider deep learning models trained to classify the synthesis conditions of
uranium ore concentrates (UOCs) and show that model editing is particularly
effective for improving generalization to distribution shifts common in this
domain. In particular, model editing outperforms finetuning on two curated
datasets comprising of micrographs taken of U$_{3}$O$_{8}$ aged in humidity
chambers and micrographs acquired with different scanning electron microscopes,
respectively.
",2024-07-22 16:06:51+00:00,cs.LG
"Customized Retrieval Augmented Generation and Benchmarking for EDA Tool
  Documentation QA","  Retrieval augmented generation (RAG) enhances the accuracy and reliability of
generative AI models by sourcing factual information from external databases,
which is extensively employed in document-grounded question-answering (QA)
tasks. Off-the-shelf RAG flows are well pretrained on general-purpose
documents, yet they encounter significant challenges when being applied to
knowledge-intensive vertical domains, such as electronic design automation
(EDA). This paper addresses such issue by proposing a customized RAG framework
along with three domain-specific techniques for EDA tool documentation QA,
including a contrastive learning scheme for text embedding model fine-tuning, a
reranker distilled from proprietary LLM, and a generative LLM fine-tuned with
high-quality domain corpus. Furthermore, we have developed and released a
documentation QA evaluation benchmark, ORD-QA, for OpenROAD, an advanced
RTL-to-GDSII design platform. Experimental results demonstrate that our
proposed RAG flow and techniques have achieved superior performance on ORD-QA
as well as on a commercial tool, compared with state-of-the-arts. The ORD-QA
benchmark and the training dataset for our customized RAG flow are open-source
at https://github.com/lesliepy99/RAG-EDA.
",2024-07-22 03:44:27+00:00,cs.CL
"Mapping Patient Trajectories: Understanding and Visualizing Sepsis
  Prognostic Pathways from Patients Clinical Narratives","  In recent years, healthcare professionals are increasingly emphasizing on
personalized and evidence-based patient care through the exploration of
prognostic pathways. To study this, structured clinical variables from
Electronic Health Records (EHRs) data have traditionally been employed by many
researchers. Presently, Natural Language Processing models have received great
attention in clinical research which expanded the possibilities of using
clinical narratives. In this paper, we propose a systematic methodology for
developing sepsis prognostic pathways derived from clinical notes, focusing on
diverse patient subgroups identified by exploring comorbidities associated with
sepsis and generating explanations of these subgroups using SHAP. The extracted
prognostic pathways of these subgroups provide valuable insights into the
dynamic trajectories of sepsis severity over time. Visualizing these pathways
sheds light on the likelihood and direction of disease progression across
various contexts and reveals patterns and pivotal factors or biomarkers
influencing the transition between sepsis stages, whether toward deterioration
or improvement. This empowers healthcare providers to implement more
personalized and effective healthcare strategies for individual patients.
",2024-07-20 14:45:55+00:00,cs.CL
