Title,Summary,Updated,Category,Link
Nominal Unification from a Higher-Order Perspective,"  Nominal Logic is a version of first-order logic with equality, name-binding,
renaming via name-swapping and freshness of names. Contrarily to higher-order
logic, bindable names, called atoms, and instantiable variables are considered
as distinct entities. Moreover, atoms are capturable by instantiations,
breaking a fundamental principle of lambda-calculus. Despite these differences,
nominal unification can be seen from a higher-order perspective. From this
view, we show that nominal unification can be reduced to a particular fragment
of higher-order unification problems: Higher-Order Pattern Unification. This
reduction proves that nominal unification can be decided in quadratic
deterministic time, using the linear algorithm for Higher-Order Pattern
Unification. We also prove that the translation preserves most generality of
unifiers.
",2023-03-14,Computer Science - Logic in Computer Science,http://arxiv.org/abs/1005.3731
Inflection system of a language as a complex network,"  We investigate inflection structure of a synthetic language using Latin as an
example. We construct a bipartite graph in which one group of vertices
correspond to dictionary headwords and the other group to inflected forms
encountered in a given text. Each inflected form is connected to its
corresponding headword, which in some cases in non-unique. The resulting sparse
graph decomposes into a large number of connected components, to be called word
groups. We then show how the concept of the word group can be used to construct
coverage curves of selected Latin texts. We also investigate a version of the
inflection graph in which all theoretically possible inflected forms are
included. Distribution of sizes of connected components of this graphs
resembles cluster distribution in a lattice percolation near the critical
point.
",2023-12-18,Computer Science - Computation and Language,http://arxiv.org/abs/1007.1025
"Node similarity as a basic principle behind connectivity in complex
  networks","  How are people linked in a highly connected society? Since in many networks a
power-law (scale-free) node-degree distribution can be observed, power-law
might be seen as a universal characteristics of networks. But this study of
communication in the Flickr social online network reveals that power-law
node-degree distributions are restricted to only sparsely connected networks.
More densely connected networks, by contrast, show an increasing divergence
from power-law. This work shows that this observation is consistent with the
classic idea from social sciences that similarity is the driving factor behind
communication in social networks. The strong relation between communication
strength and node similarity could be confirmed by analyzing the Flickr
network. It also is shown that node similarity as a network formation model can
reproduce the characteristics of different network densities and hence can be
used as a model for describing the topological transition from weakly to
strongly connected societies.
",2023-06-22,Physics - Physics and Society,http://arxiv.org/abs/1010.0803
"Software Effort Estimation with Ridge Regression and Evolutionary
  Attribute Selection","  Software cost estimation is one of the prerequisite managerial activities
carried out at the software development initiation stages and also repeated
throughout the whole software life-cycle so that amendments to the total cost
are made. In software cost estimation typically, a selection of project
attributes is employed to produce effort estimations of the expected human
resources to deliver a software product. However, choosing the appropriate
project cost drivers in each case requires a lot of experience and knowledge on
behalf of the project manager which can only be obtained through years of
software engineering practice. A number of studies indicate that popular
methods applied in the literature for software cost estimation, such as linear
regression, are not robust enough and do not yield accurate predictions.
Recently the dual variables Ridge Regression (RR) technique has been used for
effort estimation yielding promising results. In this work we show that results
may be further improved if an AI method is used to automatically select
appropriate project cost drivers (inputs) for the technique. We propose a
hybrid approach combining RR with a Genetic Algorithm, the latter evolving the
subset of attributes for approximating effort more accurately. The proposed
hybrid cost model has been applied on a widely known high-dimensional dataset
of software project samples and the results obtained show that accuracy may be
increased if redundant attributes are eliminated.
",2023-12-21,Computer Science - Software Engineering,http://arxiv.org/abs/1012.5754
"On the effect of the path length and transitivity of small-world
  networks on epidemic dynamics","  We show how one can trace in a systematic way the coarse-grained solutions of
individual-based stochastic epidemic models evolving on heterogeneous complex
networks with respect to their topological characteristics. In particular, we
have developed algorithms that allow the tuning of the transitivity (clustering
coefficient) and the average mean-path length allowing the investigation of the
""pure"" impacts of the two characteristics on the emergent behavior of detailed
epidemic models. The framework could be used to shed more light into the
influence of weak and strong social ties on epidemic spread within small-world
network structures, and ultimately to provide novel systematic computational
modeling and exploration of better contagion control strategies.
",2023-03-24,Computer Science - Social and Information Networks,http://arxiv.org/abs/1102.5420
Well structured program equivalence is highly undecidable,"  We show that strict deterministic propositional dynamic logic with
intersection is highly undecidable, solving a problem in the Stanford
Encyclopedia of Philosophy. In fact we show something quite a bit stronger. We
introduce the construction of program equivalence, which returns the value
$\mathsf{T}$ precisely when two given programs are equivalent on halting
computations. We show that virtually any variant of propositional dynamic logic
has $\Pi_1^1$-hard validity problem if it can express even just the equivalence
of well-structured programs with the empty program \texttt{skip}. We also show,
in these cases, that the set of propositional statements valid over finite
models is not recursively enumerable, so there is not even an axiomatisation
for finitely valid propositions.
",2023-11-08,Computer Science - Logic in Computer Science,http://arxiv.org/abs/1103.1433
"A Discrete Adapted Hierarchical Basis Solver For Radial Basis Function
  Interpolation","  In this paper we develop a discrete Hierarchical Basis (HB) to efficiently
solve the Radial Basis Function (RBF) interpolation problem with variable
polynomial order. The HB forms an orthogonal set and is adapted to the kernel
seed function and the placement of the interpolation nodes. Moreover, this
basis is orthogonal to a set of polynomials up to a given order defined on the
interpolating nodes. We are thus able to decouple the RBF interpolation problem
for any order of the polynomial interpolation and solve it in two steps: (1)
The polynomial orthogonal RBF interpolation problem is efficiently solved in
the transformed HB basis with a GMRES iteration and a diagonal, or block SSOR
preconditioner. (2) The residual is then projected onto an orthonormal
polynomial basis. We apply our approach on several test cases to study its
effectiveness, including an application to the Best Linear Unbiased Estimator
regression problem.
",2023-11-21,Mathematics - Numerical Analysis,http://arxiv.org/abs/1104.2504
Towards joint decoding of binary Tardos fingerprinting codes,"  The class of joint decoder of probabilistic fingerprinting codes is of utmost
importance in theoretical papers to establish the concept of fingerprint
capacity. However, no implementation supporting a large user base is known to
date. This article presents an iterative decoder which is, as far as we are
aware of, the first practical attempt towards joint decoding. The
discriminative feature of the scores benefits on one hand from the
side-information of previously accused users, and on the other hand, from
recently introduced universal linear decoders for compound channels. Neither
the code construction nor the decoder make precise assumptions about the
collusion (size or strategy). The extension to incorporate soft outputs from
the watermarking layer is straightforward. An extensive experimental work
benchmarks the very good performance and offers a clear comparison with
previous state-of-the-art decoders.
",2023-07-26,Computer Science - Information Theory,http://arxiv.org/abs/1104.5616
Characteristics of Optimal Solutions to the Sensor Location Problem,"  In [Bianco, L., Giuseppe C., and P. Reverberi. 2001. ""A network based model
for traffic sensor location with implications on O/D matrix estimates"".
Transportation Science 35(1):50-60.], the authors present the Sensor Location
Problem: that of locating the minimum number of traffic sensors at
intersections of a road network such that the traffic flow on the entire
network can be determined. They offer a necessary and sufficient condition on
the set of monitored nodes in order for the flow everywhere to be determined.
In this paper, we present a counterexample that demonstrates that the condition
is not actually sufficient (though it is still necessary). We present a
stronger necessary condition for flow calculability, and show that it is a
sufficient condition in a large class of graphs in which a particular subgraph
is a tree. Many typical road networks are included in this category, and we
show how our condition can be used to inform traffic sensor placement.
",2023-09-28,Mathematics - Optimization and Control,http://arxiv.org/abs/1106.0349
Model of communities isolation at hierarchical modular networks,"  The model of community isolation was extended to the case when individuals
are randomly placed at nodes of hierarchical modular networks. It was shown
that the average number of blocked nodes (individuals) increases in time as a
power function, with the exponent depending on network parameters. The
distribution of time when the first isolated cluster appears is unimodal,
non-gaussian. The developed analytical approach is in a good agreement with the
simulation data.
",2023-07-19,Physics - Physics and Society,http://arxiv.org/abs/1106.0439
"Another approach to the equivalence of measure-many one-way quantum
  finite automata and its application","  In this paper, we present a much simpler, direct and elegant approach to the
equivalence problem of {\it measure many one-way quantum finite automata}
(MM-1QFAs). The approach is essentially generalized from the work of Carlyle
[J. Math. Anal. Appl. 7 (1963) 167-175]. Namely, we reduce the equivalence
problem of MM-1QFAs to that of two (initial) vectors.
  As an application of the approach, we utilize it to address the equivalence
problem of {\it Enhanced one-way quantum finite automata} (E-1QFAs) introduced
by Nayak [Proceedings of the 40th Annual IEEE Symposium on Foundations of
Computer Science, 1999, pp.~369-376]. We prove that two E-1QFAs $\mathcal{A}_1$
and $\mathcal{A}_2$ over $\Sigma$ are equivalence if and only if they are
$n_1^2+n_2^2-1$-equivalent where $n_1$ and $n_2$ are the numbers of states in
$\mathcal{A}_1$ and $\mathcal{A}_2$, respectively.
",2023-06-19,Computer Science - Computational Complexity,http://arxiv.org/abs/1106.2481
Some results on equivalence of multi-letter quantum finite automata,"  Two quantum finite automata are equivalent if for all input string $\omega$
over the input alphabet the two automata accept $\omega$ with equal
probability. In [Theoret. Comput. Sci. 410 (2009) 3006-3017], it was shown that
a $k_1$-letter QFA $\mathcal{A}_1$ and a $k_2$-letter QFA $\mathcal{A}_2$ over
$\Sigma=\{\sigma\}$, are equivalent if and only if they are
$(n_1+n_2)^4+k-1$-equivalent where $n_i$ is the number of states of
$\mathcal{A}_i$, $i=1,2$, and $k=\max\{k_1,k_2\}$. In this letter, we improve
the above upper-bound to $(n_1^2+n_2^2-1)+k$. This also answers an open problem
of Qiu et al. [Acta Informatica 48 (2011) 271-290]. Further, we show that, in
the case of $\Sigma=\{\sigma_1,...,\sigma_t\}$ with $2\leq t<\infty$, there
exists an integer $z$ such that $\mathcal{A}_1$ and $\mathcal{A}_2$ are
equivalent if and only if they satisfy $z$-equivalent.
",2023-06-06,Computer Science - Computational Complexity,http://arxiv.org/abs/1106.5223
Edit wars in Wikipedia,"  We present a new, efficient method for automatically detecting severe
conflicts `edit wars' in Wikipedia and evaluate this method on six different
language WPs. We discuss how the number of edits, reverts, the length of
discussions, the burstiness of edits and reverts deviate in such pages from
those following the general workflow, and argue that earlier work has
significantly over-estimated the contentiousness of the Wikipedia editing
process.
",2023-01-05,Statistics - Machine Learning,http://arxiv.org/abs/1107.3689
Dynamics in Near-Potential Games,"  Except for special classes of games, there is no systematic framework for
analyzing the dynamical properties of multi-agent strategic interactions.
Potential games are one such special but restrictive class of games that allow
for tractable dynamic analysis. Intuitively, games that are ""close"" to a
potential game should share similar properties. In this paper, we formalize and
develop this idea by quantifying to what extent the dynamic features of
potential games extend to ""near-potential"" games. We study convergence of three
commonly studied classes of adaptive dynamics: discrete-time better/best
response, logit response, and discrete-time fictitious play dynamics. For
better/best response dynamics, we focus on the evolution of the sequence of
pure strategy profiles and show that this sequence converges to a (pure)
approximate equilibrium set, whose size is a function of the ""distance"" from a
close potential game. We then study logit response dynamics and provide a
characterization of the stationary distribution of this update rule in terms of
the distance of the game from a close potential game and the corresponding
potential function. We further show that the stochastically stable strategy
profiles are pure approximate equilibria. Finally, we turn attention to
fictitious play, and establish that the sequence of empirical frequencies of
player actions converges to a neighborhood of (mixed) equilibria of the game,
where the size of the neighborhood increases with distance of the game to a
potential game. Thus, our results suggest that games that are close to a
potential game inherit the dynamical properties of potential games. Since a
close potential game to a given game can be found by solving a convex
optimization problem, our approach also provides a systematic framework for
studying convergence behavior of adaptive learning dynamics in arbitrary finite
strategic form games.
",2023-10-03,Computer Science - Computer Science and Game Theory,http://arxiv.org/abs/1107.4386
"Simple characterizations for commutativity of quantum weakest
  preconditions","  In a recent letter [Information Processing Letters~104 (2007) 152-158], it
has shown some sufficient conditions for commutativity of quantum weakest
preconditions. This paper provides some alternative and simple
characterizations for the commutativity of quantum weakest preconditions, i.e.,
Theorem 3.1, Theorem 3.2 and Proposition 3.3 in what follows. We also show that
to characterize the commutativity of quantum weakest preconditions in terms of
$[M,N]$ ($=MN-NM$) is hard in the sense of Proposition 4.1 and Proposition 4.2.
",2023-07-19,Computer Science - Logic in Computer Science,http://arxiv.org/abs/1108.4607
Emotional Analysis of Blogs and Forums Data,"  We perform a statistical analysis of emotionally annotated comments in two
large online datasets, examining chains of consecutive posts in the
discussions. Using comparisons with randomised data we show that there is a
high level of correlation for the emotional content of messages.
",2023-07-19,Computer Science - Computation and Language,http://arxiv.org/abs/1108.5974
"Kripke Semantics for Martin-L\""of's Extensional Type Theory","  It is well-known that simple type theory is complete with respect to
non-standard set-valued models. Completeness for standard models only holds
with respect to certain extended classes of models, e.g., the class of
cartesian closed categories. Similarly, dependent type theory is complete for
locally cartesian closed categories. However, it is usually difficult to
establish the coherence of interpretations of dependent type theory, i.e., to
show that the interpretations of equal expressions are indeed equal. Several
classes of models have been used to remedy this problem. We contribute to this
investigation by giving a semantics that is standard, coherent, and
sufficiently general for completeness while remaining relatively easy to
compute with. Our models interpret types of Martin-L\""of's extensional
dependent type theory as sets indexed over posets or, equivalently, as
fibrations over posets. This semantics can be seen as a generalization to
dependent type theory of the interpretation of intuitionistic first-order logic
in Kripke models. This yields a simple coherent model theory, with respect to
which simple and dependent type theory are sound and complete.
",2023-03-31,Computer Science - Logic in Computer Science,http://arxiv.org/abs/1109.1702
"Circadian patterns of Wikipedia editorial activity: A demographic
  analysis","  Wikipedia (WP) as a collaborative, dynamical system of humans is an
appropriate subject of social studies. Each single action of the members of
this society, i.e. editors, is well recorded and accessible. Using the
cumulative data of 34 Wikipedias in different languages, we try to characterize
and find the universalities and differences in temporal activity patterns of
editors. Based on this data, we estimate the geographical distribution of
editors for each WP in the globe. Furthermore we also clarify the differences
among different groups of WPs, which originate in the variance of cultural and
social features of the communities of editors.
",2023-01-05,Physics - Physics and Society,http://arxiv.org/abs/1109.1746
Relative Error Control in Bivariate Interpolatory Cubature,"  We describe an algorithm for controlling the relative error in the numerical
evaluation of a bivariate integral, without prior knowledge of the magnitude of
the integral. In the event that the magnitude of the integral is less than
unity, absolute error control is preferred. The underlying quadrature rule is
positive-weight interpolatory and composite. Some numerical examples
demonstrate the algorithm.
",2023-12-12,Mathematics - Numerical Analysis,http://arxiv.org/abs/1110.2324
Nystrom Methods in the RKQ Algorithm for Initial-value Problems,"  We incorporate explicit Nystrom methods into the RKQ algorithm for stepwise
global error control in numerical solutions of initial-value problems. The
initial-value problem is transformed into an explicitly second-order problem,
so as to be suitable for Nystrom integration. The Nystrom methods used are
fourth-order, fifth-order and 10th-order. Two examples demonstrate the
effectiveness of the algorithm.
",2023-11-28,Mathematics - Numerical Analysis,http://arxiv.org/abs/1110.6749
Data Processing For Atomic Resolution EELS,"  The high beam current and sub-angstrom resolution of aberration-corrected
scanning transmission electron microscopes has enabled electron energy loss
spectroscopic (EELS) mapping with atomic resolution. These spectral maps are
often dose-limited and spatially oversampled, leading to low counts/channel and
are thus highly sensitive to errors in background estimation. However, by
taking advantage of redundancy in the dataset map one can improve background
estimation and increase chemical sensitivity. We consider two such approaches-
linear combination of power laws and local background averaging-that reduce
background error and improve signal extraction. Principal components analysis
(PCA) can also be used to analyze spectrum images, but the poor
peak-to-background ratio in EELS can lead to serious artifacts if raw EELS data
is PCA filtered. We identify common artifacts and discuss alternative
approaches. These algorithms are implemented within the Cornell Spectrum
Imager, an open source software package for spectroscopic analysis.
",2023-07-19,Condensed Matter - Materials Science,http://arxiv.org/abs/1112.3059
A Novel Chaotic Image Encryption using Generalized Threshold Function,"  In this paper, after reviewing the main points of image encryption and
threshold function, we introduce the methods of chaotic image encryption based
on pseudorandom bit padding that the bits be generated by the novel generalized
threshold function (segmentation and self-similarity) methods. These methods
decrease periodic effect of the ergodic dynamical systems in randomness of the
chaotic image encryption. The essential idea of this paper is that given
threshold functions of the ergodic dynamical systems. To evaluate the security
of the cipher image of this scheme, the key space analysis, the correlation of
two adjacent pixels and differential attack were performed. This scheme tries
to improve the problem of failure of encryption such as small key space and
level of security.
",2023-07-19,Computer Science - Cryptography and Security,http://arxiv.org/abs/1112.3791
Inductive types in homotopy type theory,"  Homotopy type theory is an interpretation of Martin-L\""of's constructive type
theory into abstract homotopy theory. There results a link between constructive
mathematics and algebraic topology, providing topological semantics for
intensional systems of type theory as well as a computational approach to
algebraic topology via type theory-based proof assistants such as Coq.
  The present work investigates inductive types in this setting. Modified rules
for inductive types, including types of well-founded trees, or W-types, are
presented, and the basic homotopical semantics of such types are determined.
Proofs of all results have been formally verified by the Coq proof assistant,
and the proof scripts for this verification form an essential component of this
research.
",2023-03-31,Mathematics - Logic,http://arxiv.org/abs/1201.3898
"Orthogonal Multiple Access with Correlated Sources: Feasible Region and
  Pragmatic Schemes","  In this paper, we consider orthogonal multiple access coding schemes, where
correlated sources are encoded in a distributed fashion and transmitted,
through additive white Gaussian noise (AWGN) channels, to an access point (AP).
At the AP, component decoders, associated with the source encoders, iteratively
exchange soft information by taking into account the source correlation. The
first goal of this paper is to investigate the ultimate achievable performance
limits in terms of a multi-dimensional feasible region in the space of channel
parameters, deriving insights on the impact of the number of sources. The
second goal is the design of pragmatic schemes, where the sources use
""off-the-shelf"" channel codes. In order to analyze the performance of given
coding schemes, we propose an extrinsic information transfer (EXIT)-based
approach, which allows to determine the corresponding multi-dimensional
feasible regions. On the basis of the proposed analytical framework, the
performance of pragmatic coded schemes, based on serially concatenated
convolutional codes (SCCCs), is discussed.
",2023-02-08,Computer Science - Information Theory,http://arxiv.org/abs/1201.6548
"rFerns: An Implementation of the Random Ferns Method for General-Purpose
  Machine Learning","  In this paper I present an extended implementation of the Random ferns
algorithm contained in the R package rFerns. It differs from the original by
the ability of consuming categorical and numerical attributes instead of only
binary ones. Also, instead of using simple attribute subspace ensemble it
employs bagging and thus produce error approximation and variable importance
measure modelled after Random forest algorithm. I also present benchmarks'
results which show that although Random ferns' accuracy is mostly smaller than
achieved by Random forest, its speed and good quality of importance measure it
provides make rFerns a reasonable choice for a specific applications.
",2023-08-15,Computer Science - Machine Learning,http://arxiv.org/abs/1202.1121
Variants of local algorithms on sparse graphs,"  Suppose we want to construct some structure on a bounded-degree graph, e.g.,
an almost maximum matching, and we want to decide about each edge depending
only on its constant-radius neighborhood. We examine and compare the strengths
of different extensions of these local algorithms. A common extension is to use
preprocessing, which means that we can make some calculation about the whole
graph, and each local decision can also depend on this calculation. In this
paper, we show that preprocessing is needless: if a nearly optimal local
algorithm uses preprocessing, then the same can be achieved by a local
algorithm without preprocessing, but with a global randomization.
",2023-11-03,Mathematics - Combinatorics,http://arxiv.org/abs/1202.1565
Dynamics of conflicts in Wikipedia,"  In this work we study the dynamical features of editorial wars in Wikipedia
(WP). Based on our previously established algorithm, we build up samples of
controversial and peaceful articles and analyze the temporal characteristics of
the activity in these samples. On short time scales, we show that there is a
clear correspondence between conflict and burstiness of activity patterns, and
that memory effects play an important role in controversies. On long time
scales, we identify three distinct developmental patterns for the overall
behavior of the articles. We are able to distinguish cases eventually leading
to consensus from those cases where a compromise is far from achievable.
Finally, we analyze discussion networks and conclude that edit wars are mainly
fought by few editors only.
",2023-01-05,Physics - Physics and Society,http://arxiv.org/abs/1202.3643
"On equivalence, languages equivalence and minimization of multi-letter
  and multi-letter measure-many quantum automata","  We first show that given a $k_1$-letter quantum finite automata
$\mathcal{A}_1$ and a $k_2$-letter quantum finite automata $\mathcal{A}_2$ over
the same input alphabet $\Sigma$, they are equivalent if and only if they are
$(n_1^2+n_2^2-1)|\Sigma|^{k-1}+k$-equivalent where $n_1$, $i=1,2$, are the
numbers of state in $\mathcal{A}_i$ respectively, and $k=\max\{k_1,k_2\}$. By
applying a method, due to the author, used to deal with the equivalence problem
of {\it measure many one-way quantum finite automata}, we also show that a
$k_1$-letter measure many quantum finite automaton $\mathcal{A}_1$ and a
$k_2$-letter measure many quantum finite automaton $\mathcal{A}_2$ are
equivalent if and only if they are $(n_1^2+n_2^2-1)|\Sigma|^{k-1}+k$-equivalent
where $n_i$, $i=1,2$, are the numbers of state in $\mathcal{A}_i$ respectively,
and $k=\max\{k_1,k_2\}$.
  Next, we study the language equivalence problem of those two kinds of quantum
finite automata. We show that for $k$-letter quantum finite automata, the
non-strict cut-point language equivalence problem is undecidable, i.e., it is
undecidable whether
$L_{\geq\lambda}(\mathcal{A}_1)=L_{\geq\lambda}(\mathcal{A}_2)$ where
$0<\lambda\leq 1$ and $\mathcal{A}_i$ are $k_i$-letter quantum finite automata.
Further, we show that both strict and non-strict cut-point language equivalence
problem for $k$-letter measure many quantum finite automata are undecidable.
The direct consequences of the above outcomes are summarized in the paper.
  Finally, we comment on existing proofs about the minimization problem of one
way quantum finite automata not only because we have been showing great
interest in this kind of problem, which is very important in classical automata
theory, but also due to that the problem itself, personally, is a challenge.
This problem actually remains open.
",2023-07-21,Computer Science - Computational Complexity,http://arxiv.org/abs/1203.0113
"Posterior Mean Super-Resolution with a Compound Gaussian Markov Random
  Field Prior","  This manuscript proposes a posterior mean (PM) super-resolution (SR) method
with a compound Gaussian Markov random field (MRF) prior. SR is a technique to
estimate a spatially high-resolution image from observed multiple
low-resolution images. A compound Gaussian MRF model provides a preferable
prior for natural images that preserves edges. PM is the optimal estimator for
the objective function of peak signal-to-noise ratio (PSNR). This estimator is
numerically determined by using variational Bayes (VB). We then solve the
conjugate prior problem on VB and the exponential-order calculation cost
problem of a compound Gaussian MRF prior with simple Taylor approximations. In
experiments, the proposed method roughly overcomes existing methods.
",2023-06-01,Computer Science - Computer Vision and Pattern Recognition,http://arxiv.org/abs/1203.0781
